titulo,score,votes,gross
122.Kung Fu Panda 2(2011),7.2,248888,16525
123.Rango(2011),7.2,232454,12348
124.Megamente(2010),7.2,224400,14842
125.Os Croods(2013),7.2,187802,18717
126.Final Fantasy VII - Advent Children(2005),7.2,54721,0
127.O Reino dos Gatos(2002),7.2,47554,0
128.Shrek 2(2004),7.2,412558,43647
129.Lilo & Stitch(2002),7.2,165138,14579
130.Planeta do Tesouro(2002),7.2,100428,3818
131.Fantasia 2000(1999),7.2,34576,6066
132.Vida de Inseto(1998),7.2,262808,16280
133.Anastasia(1997),7.2,109927,5841
134.As Peripécias do Ratinho Detetive(1986),7.2,44193,3860
135.A Espada Era a Lei(1963),7.2,87953,2218
136.101 Dálmatas(1961),7.2,150075,14488
137.A Bela Adormecida(1959),7.2,133120,5160
138.Dumbo(1941),7.2,117672,160
139.WiFi Ralph: Quebrando a Internet(2018),7.1,126237,20109
140.Sing: Quem Canta Seus Males Espanta(2016),7.1,130918,27040
"141.Snoopy & Charlie Brown: Peanuts, o Filme(2015)",7.1,41671,13018
142.Kung Fu Panda 3(2016),7.1,131012,14353
143.Operação Presente(2011),7.1,49253,4646
144.Valente(2012),7.1,366507,23728
145.Hotel Transilvânia(2012),7.1,220164,14831
146.A Princesa e o Sapo(2009),7.1,121674,10440
147.9: A Salvação(I) (2009),7.1,131853,3174
148.O Homem Duplo(2006),7.1,105495,550
149.Bob Esponja: O Filme(2004),7.1,77326,8542
150.Carros(2006),7.1,360621,24408
151.Spirit: O Corcel Indomável(2002),7.1,64044,7328
152.O Príncipe do Egito(1998),7.1,116623,10122
153.Balto(1995),7.1,39140,1135
154.Se Minha Cama Voasse(1971),7.1,33618,1853
155.Aristogatas(1970),7.1,91840,3768
156.Abominável(2019),7,27007,6072
157.ParaNorman(2012),7,92506,5600
158.Encantada(2007),7,174697,12781
159.A Fuga das Galinhas(2000),7,174857,10683
160.O Rei Leão(2019),6.9,203115,54364
161.Frozen II(2019),6.9,126997,47737
162.Rio(2011),6.9,203505,14362
163.A Lenda dos Guardiões(2010),6.9,77096,5568
164.Frankenweenie(2012),6.9,96344,3529
165.A Era do Gelo 3(2009),6.9,220044,19657
166.Tá Chovendo Hambúrguer(2009),6.9,201421,12487
167.Madagascar(2005),6.9,360096,19360
168.Atlantis: O Reino Perdido(2001),6.9,102324,8405
169.O Caminho Para El Dorado(2000),6.9,82874,5086
170.O Corcunda de Notre Dame(1996),6.9,139456,10014
171.Bernardo e Bianca na Terra dos Cangurus(1990),6.9,37706,2793
